Date,Open,High,Low,Close,Volume
2011-08-03 10:14:07.251931,137.45,140.52999999999997,136.94,140.14,61298
2011-08-04 10:14:07.251931,195.07,196.35999999999999,191.73999999999998,194.04999999999998,94192
2011-08-05 10:14:07.251931,173.2,177.29999999999998,172.53,176.48,51811
2011-08-08 10:14:07.251931,159.87,162.53,156.34,156.58,80072
2011-08-09 10:14:07.251931,115.6,115.72,108.27999999999999,110.89999999999999,52974
2011-08-10 10:14:07.251931,115.6,118.33999999999999,110.06,112.64,29856
2011-08-11 10:14:07.251931,105.81,108.31,103.00000000000001,104.21000000000001,54830
2011-08-12 10:14:07.251931,186.62,187.62,184.51,186.73000000000002,91983
2011-08-15 10:14:07.251931,160.11,163.63000000000002,158.44000000000003,161.26000000000002,55823
2011-08-16 10:14:07.251931,170.81,175.01000000000002,168.25,174.92000000000002,84397
2011-08-17 10:14:07.251931,102.06,105.06,101.11,102.16,95814
2011-08-18 10:14:07.251931,196.99,198.58,195.42000000000002,197.0,77078
2011-08-19 10:14:07.251931,183.24,184.15,177.28,178.74,77951
2011-08-22 10:14:07.251931,121.23,122.32000000000001,115.52,116.58,22905
2011-08-23 10:14:07.251931,118.18,118.89000000000001,115.51,118.69000000000001,31601
2011-08-24 10:14:07.251931,118.34,121.31,117.22,117.72,97099
2011-08-25 10:14:07.251931,130.42,133.92999999999998,129.97,133.80999999999997,50955
2011-08-26 10:14:07.251931,152.48,154.44,147.36,149.09,82179
2011-08-29 10:14:07.251931,143.19,144.52,136.47,138.44,58435
2011-08-30 10:14:07.251931,129.12,131.97,128.03,128.61,34044
2011-08-31 10:14:07.251931,161.19,161.93,157.39000000000001,158.56,21246
2011-09-01 10:14:07.251931,113.95,115.55,106.61,109.45,12458
2011-09-02 10:14:07.251931,129.21,132.91,128.47,131.46,68507
2011-09-05 10:14:07.251931,136.64,138.75,130.75,132.76,16028
2011-09-06 10:14:07.251931,145.61,146.89000000000001,143.39000000000001,146.69000000000003,61901
2011-09-07 10:14:07.251931,178.52,179.10000000000002,174.99,176.33,16306
2011-09-08 10:14:07.251931,119.97,120.61,113.89,116.7,37678
2011-09-09 10:14:07.251931,151.42,153.63,148.01,150.22,22363
2011-09-12 10:14:07.251931,159.24,162.82,157.87,162.25,24066
2011-09-13 10:14:07.251931,104.65,106.37,101.86000000000001,103.57000000000001,73804
2011-09-14 10:14:07.251931,160.75,163.91,158.67,163.26,58544
2011-09-15 10:14:07.251931,117.05,119.63,111.52,113.3,10189
2011-09-16 10:14:07.251931,106.51,112.07000000000001,103.87,109.24000000000001,21752
2011-09-19 10:14:07.251931,194.89,196.45,191.19,192.26,17482
2011-09-20 10:14:07.251931,196.56,199.39000000000001,195.66,198.33,26679
2011-09-21 10:14:07.251931,180.84,182.2,180.20000000000002,181.5,10799
2011-09-22 10:14:07.251931,130.46,134.9,130.35,134.75,19934
